zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name
1969,other,227,2747,192410,774.0,86.0,0.1111111111111111,305,473.05,106.75,11.103021477975972,22.566324912799917,Other
1970,other,1142,14979,1004874,5116.0,1415.0,0.2765832681782643,4142,3075.25,1449.7,27.65204619801055,47.14088285505243,Other
1982,other,136,881,49123,415.0,158.0,0.380722891566265,335,199.15,117.25,38.02497162315551,58.87521968365553,Other
1983,other,223,1743,135100,803.0,335.0,0.4171855541718555,727,406.85,254.45,41.7096959265634,62.54147720290033,Other
1984,other,83,1411,45841,226.0,57.0,0.252212389380531,355,282.65,124.25,25.15946137491141,43.95895984433045,Other
1985,other,74,526,17010,208.0,58.0,0.2788461538461538,146,108.1,51.1,27.756653992395435,47.27104532839964,Other
2019,other,442,6632,347123,1785.0,208.0,0.1165266106442577,772,1149.2,270.2,11.64053075995175,23.512008353637317,Other
2021,other,948,25299,2249669,4166.0,1159.0,0.2782045127220355,7038,5202.450000000001,2463.3,27.81928139452152,47.34884525560072,Other
2025,other,286,2340,110216,1052.0,363.0,0.3450570342205323,807,512.4,282.45,34.48717948717949,55.12295081967213,Other
2026,other,938,14131,811888,4222.0,1197.0,0.2835149218379915,4006,2920.85,1402.1,28.34901988535844,48.003149768046974,Other
2030,other,117,419,30230,357.0,182.0,0.5098039215686274,213,105.45,74.55,50.83532219570406,70.69701280227596,Other
2032,other,115,1914,126819,333.0,63.0,0.1891891891891892,362,359.5,126.7,18.91327063740857,35.24339360222532,Other
2035,other,647,11457,952147,2678.0,819.0,0.3058252427184466,3503,2419.15,1226.05,30.575194204416512,50.68102432672633,Other
1740,other,124,876,61936,414.0,166.0,0.4009661835748792,351,201.6,122.85,40.06849315068493,60.9375,Other
1741,other,114,556,41636,343.0,196.0,0.5714285714285714,317,146.8,110.95,57.01438848920864,75.57901907356947,Other
1742,other,781,9921,851617,3443.0,1499.0,0.4353761254719721,4319,2351.95,1511.65,43.533917951819376,64.27219966410851,Other
1745,other,12,292,11580,6.0,6.0,1.0,292,102.2,102.2,100.0,100.0,Other
1746,other,391,5524,455824,1435.0,306.0,0.2132404181184669,1177,1064.0,411.95,21.30702389572773,38.71710526315789,Other
1747,other,151,1950,133864,438.0,69.0,0.1575342465753424,307,353.9,107.45,15.743589743589745,30.36168409155129,Other
1748,other,460,13661,1945415,1853.0,796.0,0.4295736643281165,5868,3222.75,2053.8,42.954395725056735,63.72818245287411,Other
1749,other,569,8073,457215,2316.0,460.0,0.1986183074265975,1603,1531.55,561.05,19.856311160658983,36.63282295713493,Other
1752,other,1533,37092,3841254,7069.0,1846.0,0.2611401895600509,9686,7501.0,3390.1,26.11344764369675,45.19530729236102,Other
1754,other,270,3330,409434,984.0,252.0,0.2560975609756097,852,669.9,298.2,25.585585585585584,44.5141065830721,Other
1756,other,159,1193,57808,506.0,81.0,0.1600790513833992,190,216.95,66.5,15.926236378876782,30.652224014749947,Other
1757,other,929,16988,1171974,4091.0,658.0,0.1608408702028843,2732,3094.6000000000004,956.2,16.081940193077465,30.898985329283263,Other
1760,other,1311,20840,1678209,6066.0,1663.0,0.2741510056050115,5713,4268.6,1999.55,27.413627639155468,46.84322728763529,Other
1770,other,104,703,83182,303.0,157.0,0.5181518151815182,364,178.25,127.4,51.778093883357045,71.4726507713885,Other
1772,other,344,8497,845204,1321.0,530.0,0.4012112036336109,3409,1956.35,1193.15,40.12004236789455,60.98857566386384,Other
1773,other,130,1814,112215,405.0,186.0,0.4592592592592592,833,438.7000000000001,291.55,45.92061742006615,66.45771597902895,Other
1775,other,142,863,60786,427.0,141.0,0.3302107728337236,284,186.25,99.4,32.90845886442642,53.369127516778526,Other
1776,other,533,5133,326669,2207.0,826.0,0.374263706388763,1921,1154.15,672.35,37.42450808494058,58.254992851882335,Other
1778,other,367,2979,216704,1440.0,601.0,0.4173611111111111,1243,695.45,435.05,41.725411211816045,62.55661801711122,Other
1801,other,2126,42535,3696755,9960.0,2990.0,0.3002008032128514,12769,8934.05,4469.15,30.019983542964617,50.02378540527532,Other
1803,other,1474,37418,4717118,6896.0,2628.0,0.3810904872389791,14259,8464.5,4990.65,38.1073280239457,58.95977317029948,Other
1810,other,1033,30459,3404984,4585.0,1777.0,0.3875681570338058,11804,6929.65,4131.4,38.75373452838242,59.61917268548916,Other
1821,other,697,13632,1274720,3039.0,620.0,0.2040144784468575,2781,2601.0,973.35,20.400528169014084,37.42214532871972,Other
1824,other,833,21384,1671283,3654.0,957.0,0.2619047619047619,5600,4327.6,1960.0,26.18780396558174,45.2906923005823,Other
1826,other,579,4892,255326,2539.0,377.0,0.1484836549822764,726,879.0,254.1,14.840556009811936,28.90784982935153,Other
1827,other,48,177,9543,136.0,16.0,0.1176470588235294,20,30.55,7.0,11.299435028248588,22.913256955810148,Other
1830,other,500,5885,272878,2089.0,455.0,0.2178075634274772,1281,1138.95,448.35,21.767204757858963,39.36520479388911,Other
1832,other,359,4510,225343,1303.0,176.0,0.1350729086722947,609,798.3,213.15,13.503325942350331,26.70048853814356,Other
1833,other,204,1931,114504,683.0,96.0,0.1405563689604685,271,343.85,94.85,14.034179181771105,27.584702631961605,Other
1834,other,120,928,69718,394.0,52.0,0.1319796954314721,122,163.60000000000002,42.7,13.14655172413793,26.100244498777503,Other
1835,other,274,5240,302188,891.0,181.0,0.2031425364758698,1064,998.8,372.4,20.30534351145038,37.28474169002804,Other
1840,other,340,4299,206949,1276.0,249.0,0.195141065830721,838,812.45,293.3,19.49290532682019,36.10068311896117,Other
1841,other,473,5667,311676,1950.0,201.0,0.103076923076923,584,966.85,204.4,10.30527616022587,21.140818120701248,Other
1843,other,531,9872,578787,2208.0,378.0,0.171195652173913,1690,1818.8,591.5,17.11912479740681,32.52144270947878,Other
1844,other,988,14600,782148,4405.0,889.0,0.2018161180476731,2946,2779.2,1031.1,20.17808219178082,37.100604490500864,Other
1845,other,923,15299,957216,4066.0,1320.0,0.3246433841613379,4966,3288.05,1738.1,32.45963788482907,52.86111829199677,Other
1850,other,122,1213,39805,416.0,38.0,0.0913461538461538,110,203.95,38.5,9.068425391591097,18.87717577837705,Other
1851,other,499,12328,1430966,2096.0,405.0,0.1932251908396946,2382,2325.6000000000004,833.7,19.321868916288125,35.84881320949432,Other
1852,other,746,9276,476758,3224.0,649.0,0.2013027295285359,1867,1764.8,653.45,20.127210004312204,37.02685856754307,Other
1854,other,298,6452,377681,1187.0,209.0,0.1760741364785172,1136,1195.0,397.6,17.606943583384997,33.27196652719665,Other
