zipcode,city_key,power_establishments,power_employment,power_revenue_M,total_establishments,total_employment,power_emp_pct,power_estab_pct
70734,other,242.0,2170,759.5,257,8217,26.40866496288183,94.16342412451361
70737,other,1138.0,4049,1417.15,1145,18434,21.964847564283392,99.3886462882096
70739,other,168.0,420,147.0,182,1573,26.70057215511761,92.3076923076923
70740,other,0.0,0,0.0,18,151,0.0,0.0
70743,other,0.0,0,0.0,4,12,0.0,0.0
70744,other,0.0,0,0.0,53,937,0.0,0.0
70748,other,20.0,250,87.5,65,1601,15.61524047470331,30.76923076923077
70749,other,0.0,0,0.0,11,75,0.0,0.0
70750,other,20.0,173,60.55,28,555,31.17117117117117,71.42857142857143
71016,other,0.0,0,0.0,20,88,0.0,0.0
71018,other,0.0,0,0.0,15,186,0.0,0.0
71019,other,49.0,242,84.7,125,1785,13.557422969187675,39.2
71021,other,0.0,0,0.0,7,61,0.0,0.0
71023,other,0.0,0,0.0,27,127,0.0,0.0
71024,other,0.0,0,0.0,13,55,0.0,0.0
71027,other,0.0,0,0.0,28,298,0.0,0.0
71028,other,0.0,0,0.0,11,103,0.0,0.0
71029,other,0.0,0,0.0,9,60,0.0,0.0
71030,other,0.0,0,0.0,17,201,0.0,0.0
71031,other,0.0,0,0.0,7,18,0.0,0.0
71032,other,10.0,55,19.25,29,195,28.205128205128204,34.48275862068966
71033,other,17.0,84,29.4,62,708,11.864406779661017,27.419354838709676
